Subject,Session,Run,Trial,Visual Stimulus,Audio Stimulus,Trial Type
49,49,7,6,cage,cage,Matched Word
49,49,7,7,chain,branch,Mismatched Word
49,49,7,8,empty,empty,Matched Word
49,49,7,9,measuring,measuring,Matched Word
49,49,7,10,shoulder,digging,Mismatched Word
49,49,7,11,plant,feather,Mismatched Word
49,49,7,12,hand,hand,Matched Word
49,49,7,13,panda,mail,Mismatched Word
49,49,7,14,airplane,airplane,Matched Word
49,49,7,15,cat,cat,Matched Word
49,49,7,16,wrapping,arguing,Mismatched Word
49,49,8,1,computer,computer,Matched Word
49,49,8,2,claw,claw,Matched Word
49,49,8,3,coin,garbage,Mismatched Word
49,49,8,4,dressing,dressing,Matched Word
49,49,8,5,fountain,swinging,Mismatched Word
49,49,8,6,empty,cage,Mismatched Word
49,49,8,7,painting,reading,Mismatched Word
49,49,8,8,square,square,Matched Word
49,49,8,9,fruit,fruit,Matched Word
49,49,8,10,drinking,drinking,Matched Word
49,49,8,11,envelope,broken,Mismatched Word
49,49,8,12,plant,plant,Matched Word
49,49,8,13,garbage,garbage,Matched Word
49,49,8,14,decorated,panda,Mismatched Word
49,49,8,15,harp,cow,Mismatched Word
49,49,8,16,garbage,square,Mismatched Word
49,49,9,1,farmer,gate,Mismatched Word
49,49,9,2,helicopter,bus,Mismatched Word
49,49,9,3,accident,juggling,Mismatched Word
49,49,9,4,chain,chain,Matched Word
49,49,9,5,harp,yawning,Mismatched Word
49,49,9,6,wrapping,wrapping,Matched Word
49,49,9,7,candle,candle,Matched Word
49,49,9,8,can,can,Matched Word
49,49,9,9,arguing,caterpillar,Mismatched Word
49,49,9,10,desk,desk,Matched Word
49,49,9,11,climbing,climbing,Matched Word
49,49,9,12,branch,camera,Mismatched Word
49,49,9,13,peeking,peeking,Matched Word
49,49,9,14,bus,shoulder,Mismatched Word
49,49,9,15,feather,porcupine,Mismatched Word
49,49,9,16,swimming,accident,Mismatched Word
49,49,10,1,elbow,knee,Mismatched Word
49,49,10,2,juggling,juggling,Matched Word
49,49,10,3,fountain,fountain,Matched Word
49,49,10,4,pouring,drinking,Mismatched Word
49,49,10,5,cow,cow,Matched Word
49,49,10,6,ambulance,full,Mismatched Word
49,49,10,7,peeling,shovel,Mismatched Word
49,49,10,8,neck,neck,Matched Word
49,49,10,9,kangaroo,kangaroo,Matched Word
49,49,10,10,mail,coin,Mismatched Word
49,49,10,11,computer,raccoon,Mismatched Word
49,49,10,12,running,running,Matched Word
49,49,10,13,bus,harp,Mismatched Word
49,49,10,14,pouring,pouring,Matched Word
49,49,10,15,pulling,pulling,Matched Word
49,49,10,16,lamp,lamp,Matched Word
