Subject,Session,Run,Trial,Visual Stimulus,Audio Stimulus,Trial Type
49,49,1,1,arrow,computer,Mismatched Word
49,49,1,2,helicopter,helicopter,Matched Word
49,49,1,3,ladder,peeling,Mismatched Word
49,49,1,4,bottle,bottle,Matched Word
49,49,1,5,fence,chain,Mismatched Word
49,49,1,6,claw,neck,Mismatched Word
49,49,1,7,going,going,Matched Word
49,49,1,8,sawing,sawing,Matched Word
49,49,1,9,dentist,dentist,Matched Word
49,49,1,10,farm,farm,Matched Word
49,49,1,11,porcupine,ambulance,Mismatched Word
49,49,1,12,lock,lock,Matched Word
49,49,1,13,exercising,exercising,Matched Word
49,49,1,14,square,painting,Mismatched Word
49,49,1,15,gate,elbow,Mismatched Word
49,49,1,16,exercising,astronaut,Mismatched Word
49,49,2,1,cactus,cactus,Matched Word
49,49,2,2,shoulder,fence,Mismatched Word
49,49,2,3,juggling,measuring,Mismatched Word
49,49,2,4,penguin,penguin,Matched Word
49,49,2,5,key,key,Matched Word
49,49,2,6,time,exercising,Mismatched Word
49,49,2,7,eating,eating,Matched Word
49,49,2,8,circle,circle,Matched Word
49,49,2,9,yawning,triangle,Mismatched Word
49,49,2,10,feather,tearing,Mismatched Word
49,49,2,11,shark,shark,Matched Word
49,49,2,12,full,dressing,Mismatched Word
49,49,2,13,cage,shoulder,Mismatched Word
49,49,2,14,reading,reading,Matched Word
49,49,2,15,broom,broom,Matched Word
49,49,2,16,money,money,Matched Word
49,49,3,1,coin,coin,Matched Word
49,49,3,2,desk,plant,Mismatched Word
49,49,3,3,swinging,swinging,Matched Word
49,49,3,4,climbing,smelling,Mismatched Word
49,49,3,5,throwing,throwing,Matched Word
49,49,3,6,circle,gate,Mismatched Word
49,49,3,7,gate,closet,Mismatched Word
49,49,3,8,broken,broken,Matched Word
49,49,3,9,arguing,arguing,Matched Word
49,49,3,10,ambulance,bus,Mismatched Word
49,49,3,11,painting,painting,Matched Word
49,49,3,12,time,time,Matched Word
49,49,3,13,shovel,shovel,Matched Word
49,49,3,14,knee,peeling,Mismatched Word
49,49,3,15,jumping,jumping,Matched Word
49,49,3,16,baby,baby,Matched Word
49,49,4,1,smelling,smelling,Matched Word
49,49,4,2,nest,nest,Matched Word
49,49,4,3,astronaut,astronaut,Matched Word
49,49,4,4,picking,picking,Matched Word
49,49,4,5,castle,castle,Matched Word
49,49,4,6,porcupine,fountain,Mismatched Word
49,49,4,7,smelling,porcupine,Mismatched Word
49,49,4,8,ladder,ambulance,Mismatched Word
49,49,4,9,neck,swimming,Mismatched Word
49,49,4,10,shovel,money,Mismatched Word
49,49,4,11,astronaut,running,Mismatched Word
49,49,4,12,branch,branch,Matched Word
49,49,4,13,yawning,castle,Mismatched Word
49,49,4,14,money,decorated,Mismatched Word
49,49,4,15,drum,drum,Matched Word
49,49,4,16,cow,circle,Mismatched Word
49,49,5,1,caterpillar,caterpillar,Matched Word
49,49,5,2,digging,full,Mismatched Word
49,49,5,3,swinging,empty,Mismatched Word
49,49,5,4,castle,going,Mismatched Word
49,49,5,5,closet,closet,Matched Word
49,49,5,6,full,harp,Mismatched Word
49,49,5,7,triangle,farmer,Mismatched Word
49,49,5,8,goat,goat,Matched Word
49,49,5,9,swimming,swimming,Matched Word
49,49,5,10,envelope,envelope,Matched Word
49,49,5,11,knee,time,Mismatched Word
49,49,5,12,broken,pouring,Mismatched Word
49,49,5,13,dressing,knee,Mismatched Word
49,49,5,14,key,envelope,Mismatched Word
49,49,5,15,can,yawning,Mismatched Word
49,49,5,16,raccoon,desk,Mismatched Word
49,49,6,1,reading,can,Mismatched Word
49,49,6,2,tearing,tearing,Matched Word
49,49,6,3,accident,accident,Matched Word
49,49,6,4,fly,fly,Matched Word
49,49,6,5,caterpillar,baby,Mismatched Word
49,49,6,6,measuring,key,Mismatched Word
49,49,6,7,raccoon,raccoon,Matched Word
49,49,6,8,going,arrow,Mismatched Word
49,49,6,9,baby,helicopter,Mismatched Word
49,49,6,10,closet,claw,Mismatched Word
49,49,6,11,arrow,arrow,Matched Word
49,49,6,12,decorated,decorated,Matched Word
49,49,6,13,camera,eating,Mismatched Word
49,49,6,14,peeling,peeling,Matched Word
49,49,6,15,running,wrapping,Mismatched Word
49,49,6,16,mail,mail,Matched Word
49,49,7,1,fence,fence,Matched Word
49,49,7,2,panda,panda,Matched Word
49,49,7,3,tearing,climbing,Mismatched Word
49,49,7,4,camera,camera,Matched Word
49,49,7,5,eating,ladder,Mismatched Word
