//Log file created (Version=1) on 10:09:59  02-Apr-2013AM for Subject=002, Session=1
//[SendTrigger] Initialization
//TrialList generated at  3493.9068
//Screen dimensions are 1024x768
2	8	 4046.8427	TrialResponse[Go]	1	66
2	8	 4046.8427	TrialResponse[Go]	1	66
2	8	 4050.8420	TrialResponse[Go]	1	67
2	8	 4050.8420	TrialResponse[Go]	1	67
2	8	 4055.8747	TrialResponse[No Go]	1	68
2	9	 4058.7909	TrialResponse[Go]	1	69
2	9	 4058.7909	TrialResponse[Go]	1	69
2	9	 4062.9736	TrialResponse[Go]	1	70
2	9	 4062.9736	TrialResponse[Go]	1	70
2	9	 4067.0243	TrialResponse[Go]	1	71
2	9	 4067.0243	TrialResponse[Go]	1	71
2	9	 4071.0891	TrialResponse[Go]	0	72
2	9	 4071.0891	TrialResponse[Go]	0	72
3	9	 4202.8581	ScannerStart	1
3	1	 4204.9029	TrialResponse[Go]	1	73
3	1	 4204.9029	TrialResponse[Go]	1	73
3	1	 4208.9525	TrialResponse[Go]	1	74
3	1	 4208.9525	TrialResponse[Go]	1	74
3	1	 4213.0851	TrialResponse[Go]	1	75
3	1	 4213.0851	TrialResponse[Go]	1	75
3	1	 4217.0685	TrialResponse[Go]	1	76
3	1	 4217.0685	TrialResponse[Go]	1	76
3	1	 4222.2171	TrialResponse[No Go]	1	77
3	2	 4225.4999	TrialResponse[Go]	1	78
3	2	 4225.4999	TrialResponse[Go]	1	78
3	2	 4229.3660	TrialResponse[Go]	1	79
3	2	 4229.3660	TrialResponse[Go]	1	79
3	2	 4234.3986	TrialResponse[No Go]	1	80
3	3	 4237.2148	TrialResponse[Go]	1	81
3	3	 4237.2148	TrialResponse[Go]	1	81
3	3	 4241.4309	TrialResponse[Go]	1	82
3	3	 4241.4309	TrialResponse[Go]	1	82
3	3	 4246.3968	TrialResponse[Go]	1	83
3	3	 4246.3968	TrialResponse[Go]	1	83
3	3	 4249.5131	TrialResponse[Go]	1	84
3	3	 4249.5131	TrialResponse[Go]	1	84
3	3	 4254.6957	TrialResponse[No Go]	1	85
3	4	 4257.4953	TrialResponse[Go]	1	86
3	4	 4257.4953	TrialResponse[Go]	1	86
3	4	 4261.8280	TrialResponse[Go]	1	87
3	4	 4261.8280	TrialResponse[Go]	1	87
3	4	 4265.9774	TrialResponse[Go]	1	88
3	4	 4265.9774	TrialResponse[Go]	1	88
3	4	 4269.8602	TrialResponse[Go]	0	89
3	4	 4269.8602	TrialResponse[Go]	0	89
3	5	 4274.9761	TrialResponse[No Go]	0	90
3	5	 4279.0422	TrialResponse[No Go]	0	91
3	5	 4283.0916	TrialResponse[No Go]	0	92
3	5	 4286.9410	TrialResponse[Go]	0	93
3	5	 4286.9410	TrialResponse[Go]	0	93
3	6	 4290.9404	TrialResponse[Go]	1	94
3	6	 4290.9404	TrialResponse[Go]	1	94
3	6	 4294.2899	TrialResponse[Go]	1	95
3	6	 4294.2899	TrialResponse[Go]	1	95
3	6	 4299.3725	TrialResponse[No Go]	1	96
3	7	 4302.3055	TrialResponse[Go]	1	97
3	7	 4302.3055	TrialResponse[Go]	1	97
3	7	 4306.5549	TrialResponse[Go]	1	98
3	7	 4306.5549	TrialResponse[Go]	1	98
